[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /api/ping                 --> main.main.func1 (5 handlers)
[GIN-debug] POST   /api/registe              --> main.PostRegister (5 handlers)
[GIN-debug] GET    /api/stat                 --> main.GetStat (5 handlers)
[GIN-debug] GET    /api/all                  --> main.GetAll (5 handlers)
[GIN-debug] GET    /api/delete/all/done      --> main.DeleteAll (5 handlers)
[GIN-debug] Listening and serving HTTP on 0.0.0.0:8090
[GIN] 2018/01/31 - 13:49:04 | 200 |     428.887µs |  206.225.83.200 | GET      /api/all
[GIN] 2018/01/31 - 13:50:55 | 200 |     220.257µs |  58.247.146.121 | GET      /
[GIN] 2018/01/31 - 13:50:56 | 200 |     177.871µs |  58.247.146.121 | GET      /css/common.css
[GIN] 2018/01/31 - 13:50:56 | 200 |     197.937µs |  58.247.146.121 | GET      /js/jquery.VP.js
[GIN] 2018/01/31 - 13:50:56 | 200 |      62.399µs |  58.247.146.121 | GET      /js/index.js
[GIN] 2018/01/31 - 13:50:56 | 200 |     125.917µs |  58.247.146.121 | GET      /js/framwork.js
[GIN] 2018/01/31 - 13:50:56 | 200 |    4.298489ms |  58.247.146.121 | GET      /js/annieCore.min.js
[GIN] 2018/01/31 - 13:50:56 | 200 |     130.717µs |  58.247.146.121 | GET      /js/base.js
[GIN] 2018/01/31 - 13:50:56 | 200 |    5.151729ms |  58.247.146.121 | GET      /js/jquery.js
[GIN] 2018/01/31 - 13:50:56 | 200 |     101.134µs |  58.247.146.121 | GET      /css/index.css
[GIN] 2018/01/31 - 13:50:56 | 200 |      76.172µs |  58.247.146.121 | GET      /images/bgm_on.png
[GIN] 2018/01/31 - 13:50:57 | 200 |     101.359µs |  58.247.146.121 | GET      /images/common/turn_phone.png
[GIN] 2018/01/31 - 13:50:57 | 200 |      47.995µs |  58.247.146.121 | GET      /images/video/1.png
[GIN] 2018/01/31 - 13:50:57 | 200 |      85.669µs |  58.247.146.121 | GET      /images/video/2.png
[GIN] 2018/01/31 - 13:50:57 | 200 |     119.725µs |  58.247.146.121 | GET      /images/video/3.png
[GIN] 2018/01/31 - 13:50:57 | 200 |     114.305µs |  58.247.146.121 | GET      /images/video/4.png
[GIN] 2018/01/31 - 13:50:57 | 200 |      77.996µs |  58.247.146.121 | GET      /images/video/5.png
[GIN] 2018/01/31 - 13:50:57 | 200 |      88.833µs |  58.247.146.121 | GET      /images/video/6.png
[GIN] 2018/01/31 - 13:50:57 | 200 |      63.173µs |  58.247.146.121 | GET      /images/video/8.png
[GIN] 2018/01/31 - 13:50:57 | 200 |       53.27µs |  58.247.146.121 | GET      /images/video/7.png
[GIN] 2018/01/31 - 13:50:57 | 200 |      75.912µs |  58.247.146.121 | GET      /images/video/9.png
[GIN] 2018/01/31 - 13:50:58 | 200 |     158.565µs |  58.247.146.121 | GET      /images/video/10.png
[GIN] 2018/01/31 - 13:50:58 | 200 |     100.821µs |  58.247.146.121 | GET      /images/video/11.png
[GIN] 2018/01/31 - 13:50:58 | 200 |      90.164µs |  58.247.146.121 | GET      /images/video/12.png
[GIN] 2018/01/31 - 13:50:58 | 200 |      79.491µs |  58.247.146.121 | GET      /images/video/13.png
